"User-ID";"Location";"Age"
"277746";"valencia, california, usa";"41"
"277873";"honolulu, hawaii, usa";NULL
"277879";"st. thomas, ontario, canada";"40"
"277882";"stuttgart, baden-wuerttemberg, germany";"36"
"277901";"bath, pennsylvania, usa";"40"
"277915";"san francisco, california, usa";NULL
"277922";"st. louis, missouri, usa";"26"
"277923";"oakland, california, usa";NULL
"277928";"grand rapids, michigan, usa";"45"
"277929";"winnipeg, manitoba, canada";"34"
"277937";"hemet, california, usa";"40"
"277938";"altoona, iowa, usa";"63"
"277945";"webster groves, missouri, usa";NULL
"277954";"philadelphia, pennsylvania, usa";"30"
"277959";"st. joseph, michigan, usa";"28"
"277962";"victoria, british columbia, canada";NULL
"277965";"chula vista, california, usa";NULL
"277982";"denver, colorado, usa";NULL
"277984";"hutchinson, minnesota, usa";NULL
"278002";"cartersville, georgia, usa";NULL
"278007";"macomb, illinois, usa";"30"
"278012";"the hague, zuid-holland,";"31"
"278017";"st. joachim, ontario, canada";NULL
"278019";"chateauguay, quebec, canada";"37"
"278026";"east orange, new jersey, usa";"56"
"278044";"yaphank, new york, usa";NULL
"278054";"verona, veneto, italy";"40"
"278064";"walsall, west midlands, united kingdom";"54"
"278100";"parma, ohio, usa";"50"
"278137";"san antonio, texas, usa";"27"
"278144";"storm lake, iowa, usa";"48"
"278188";"lake george, new york, usa";"34"
"278194";"aptos, california, usa";NULL
"278202";"coral springs, florida, usa";NULL
"278218";"canberra, australian capital territory, australia";"37"
"278221";"oshawa, ontario, canada";"32"
"278249";"heidelberg, baden-württemberg,";NULL
"278255";"robesonia, pennsylvania, usa";"34"
"278257";"new orleans, louisiana, usa";"41"
"278314";"norfolk, virginia, usa";NULL
"278342";"st. john`s, newfoundland, canada";NULL
"278346";"palmdale, california, usa";NULL
"278356";"lakeland, tennessee, usa";"57"
"278390";"elburn, illinois, usa";"35"
"278411";"stratford, texas, usa";"54"
"278418";"omaha, nebraska, usa";NULL
"278422";"new york, new york, usa";"32"
"278449";"bartlett, tennessee, usa";NULL
"278474";"croydon, new south wales, australia";"40"
"278506";"springfield, virginia, usa";NULL
"278522";"orange beach, alabama, usa";NULL
"278524";"kansas city, ,";"10"
"278529";"boulder city, nevada, usa";NULL
"278535";"oshkosh, wisconsin, usa";NULL
"278536";"st. louis, missouri, usa";NULL
"278543";"valenica, california, usa";"39"
"278545";"cottonwood, california, usa";NULL
"278552";"royal oak, michigan, usa";"26"
"278554";"takasaki, gunma, japan";"22"
"278563";"wien, wien, austria";"37"
"278565";"pikesville, maryland, usa";NULL
"278582";"slidell, louisiana, usa";NULL
"278586";"port orchard, washington, usa";"63"
"278633";"sandy, utah, usa";NULL
"278637";"strasbourg, alsace, france";NULL
"278641";"l. p., alberta, canada";NULL
"278663";"arlington, texas, usa";NULL
"278668";"madrid, madrid, spain";"48"
"278672";"halifax, nova scotia, canada";"43"
"278694";"montgomery, alabama, usa";"57"
"278723";"prior lake, minnesota, usa";"52"
"278771";"milford, connecticut, usa";NULL
"278773";"alexandria, virginia, usa";NULL
"278774";"london, n/a, united kingdom";"33"
"278782";"larnaca, n/a, cyprus";NULL
"278838";"massillon, ohio, usa";"15"
"278843";"pismo beach, california, usa";"28"
"278851";"dallas, texas, usa";"33"
"278854";"portland, oregon, usa";NULL
"8";"timmins, ontario, canada";NULL
"17";"chesapeake, virginia, usa";NULL
"44";"black mountain, north carolina, usa";"51"
"53";"tacoma, washington, usa";NULL
"69";"vancouver, british columbia, canada";NULL
"99";"franktown, colorado, usa";"42"
"114";"ligonier, pennsylvania, usa";"57"
"160";"almada, n/a, portugal";"20"
"165";"olympia, washington, usa";"62"
"176";"london, london, united kingdom";"34"
"182";"buitenpost, fryslân, netherlands";"36"
"183";"porto, porto, portugal";"27"
"199";"austin, texas, usa";"38"
"232";"mumbai, maharashtra, india";"16"
"242";"neuffen, baden-wuerttemberg, germany";"37"
"243";"arden hills, minnesota, usa";NULL
"244";"college station, texas, usa";NULL
"254";"minneapolis, minnesota, usa";"24"
"272";"walla walla, washington, usa";"20"
"300";"newport news, virginia, usa";NULL
"362";"thunder bay, ontario, canada";"63"
"383";"carmichael, california, usa";NULL
"384";"bucuresti, n/a, romania";"23"
"387";"charity, missouri, usa";"17"
"388";"nashville, tennessee, usa";"35"
"392";"barcelona, catalunya, spain";"44"
"408";"mountain view, california, usa";"17"
"424";"portland, oregon, usa";"29"
"444";"sweet home, oregon, usa";"40"
"446";"chevy chase, dc, usa";NULL
"460";"roma, italy, italy";NULL
"472";"livingston, new jersey, usa";NULL
"476";"rome, new york, usa";NULL
"486";"portland, oregon, usa";"31"
"487";"houston, texas, usa";NULL
"503";"el centro, california, usa";"40"
"505";"washington, dc, usa";"51"
"507";"dumas, arkansas, usa";NULL
"566";"springfield, illinois, usa";NULL
"567";"spokane, washington, usa";NULL
"595";"hollywood, florida, usa";"17"
"619";"long beach, mississippi, usa";NULL
"625";"marseille, provence, france";"41"
"626";"graz, steiermark, austria";"41"
"638";"san diego, california, usa";"20"
"643";"grenoble, rhone-alpes, france";"23"
"651";"interlachen, florida, usa";"26"
"709";"roanoke, virginia, usa";"14"
"712";"pratteln, baselland, switzerland";"29"
"714";"austin, texas, usa";NULL
"728";"welsh, louisiana, usa";NULL
"735";"cortland, new york, usa";"29"
"741";"novinger, missouri, usa";"16"
"746";"longmont, colorado, usa";"36"
"753";"stockton, california, usa";NULL
"776";"auckland, n/a, new zealand";"23"
"777";"portland, ,";"13"
"805";"sonoma, california, usa";"34"
"819";"deer park, new york, usa";NULL
"827";"mason city, iowa, usa";NULL
"834";"rockville, maryland, usa";"17"
"843";"deer lodge, tennessee, usa";"25"
"850";"bremen, bremen, germany";"22"
"853";"chesterfield, michigan, usa";"24"
"876";"hanover, massachusetts, usa";"33"
"882";"berkeley, california, usa";"23"
"899";"bielefeld, nordrhein-westfalen, germany";"23"
"900";"scranton, pennsylvania, usa";"25"
"901";"worcester, worcestershire, united kingdom";"21"
"914";"griesheim, hessen, germany";"51"
"915";"humble, texas, usa";"50"
"929";"king of prussia, ,";"36"
"945";"salerno, campania, italy";"23"
"989";"san antonio, texas, usa";"33"
"1025";"maidstone, england, united kingdom";"33"
"1063";"edmonton, alberta, canada";"19"
"1075";"hurst, texas, usa";"49"
"1083";"newport news, virginia, usa";NULL
"1087";"birmingham, alabama, usa";"46"
"1113";"richmond, missouri, usa";"22"
"1116";"calgary, alberta, canada";"29"
"1129";"bothell, washington, usa";"53"
"1131";"berkeley, ,";"22"
"1133";"kingswood, south australia, australia";"46"
"1155";"smyrna, georgia, usa";"22"
"1161";"brier, washington, usa";NULL
"1167";"milwaukee, wisconsin, usa";"25"
"1178";"heidelberg, baden-wuerttemberg, germany";"9"
"1184";"la mirada, california, usa";"38"
"1192";"klang, selangor, malaysia";"27"
"1211";"rennes, bretagne, france";"22"
"1231";"christchurch, n/a, new zealand";"13"
"1248";"dixon, california, usa";NULL
"1249";"surrey, british columbia, canada";NULL
"1254";"16605 bennington ct, indiana, usa";"26"
"1261";"el paso, texas, usa";"46"
"1297";"los gatos, california, usa";"30"
"1331";"lisboa, n/a, portugal";"32"
"1343";"bishop auckland, england, united kingdom";"33"
"1348";"sacramento, california, usa";"43"
"1368";"hopewell, virginia, usa";"22"
"1372";"frankfurt, hessen, germany";"34"
"1409";"farmington hills, michigan, usa";"74"
"1412";"winston-salem, north carolina, usa";"47"
"1421";"leioa, vizcaya, spain";"55"
"1424";"north avoca, new south wales, australia";NULL
"1435";"st. louis, missouri, usa";"36"
"1436";"sault ste. marie, ontario, canada";NULL
"1466";"cologne, nordrhein-westfalen, germany";"28"
"1467";"dallas, texas,";NULL
"1485";"allendale, new jersey, usa";"30"
"1517";"barcelona, barcelona, spain";"32"
"1548";"brooklyn, new york, usa";"28"
"1558";"normal, illinois, usa";"61"
"1585";"albuquerque, new mexico, usa";"29"
"1596";"jackson, tennessee, usa";"51"
"1608";"collingswood, new jersey, usa";"27"
"1652";"new york, new york, usa";NULL
"1660";"fort worth, texas, usa";NULL
"1667";"roma, lazio, italy";NULL
"1674";"minneapolis, minnesota, usa";"26"
"1688";"chelmsford, england, united kingdom";"53"
"1706";"olympia, washington, usa";"26"
"1725";"palma, illes balears, united kingdom";"25"
"1733";"independence, west virginia, usa";"30"
"1745";"cedar rapids, iowa, usa";NULL
"1790";"chicago, illinois, usa";"25"
"1797";"paris, paris, france";NULL
"1805";"euless, texas, usa";NULL
"1812";"provo, utah, usa";"24"
"1838";"glens falls, new york, usa";NULL
"1848";"bellingham, washington, usa";"22"
"1850";"sydney, nsw, australia";"3"
"1903";"hualien, taiwan, taiwan";"36"
"1923";"beaufort, victoria, australia";NULL
"1928";"kansas city, missouri, usa";"17"
"1990";"niterói, rio de janeiro, brazil";"32"
"2009";"wuppertal, nordrhein-westfalen, germany";"31"
"2010";"colfax, illinois, usa";NULL
"2012";"bray, wicklow,";"34"
"2024";"oakland, california, usa";"34"
"2030";"seabeck, washington, usa";"31"
"2033";"omaha, nebraska, usa";"27"
"2041";"playa del rey, california, usa";NULL
"2046";"philadelphia, missouri, usa";"22"
"2084";"logroño, la rioja, spain";"21"
"2090";"dudley, massachusetts, usa";"28"
"2103";"minneapolis, minnesota, usa";"43"
"2106";"denver, colorado, usa";"44"
"2110";"charlotte, north carolina, usa";NULL
"2132";"hammond, indiana, usa";NULL
"2134";"oakland, california, usa";"35"
"2136";"salem, oregon, usa";"45"
"2139";"chesapeake, virginia, usa";"33"
"2179";"sunderland, massachusetts, usa";"30"
"2189";"montreal, quebec, canada";"24"
"2190";"lenexa, kansas, usa";"29"
"2197";"n/a, travelling, canada";"26"
"2209";"rapallo, liguria, italy";"26"
"2255";"charlottesville, virginia, usa";"35"
"2276";"niskayuna, new york, usa";"46"
"2281";"vancouver, washington, usa";"30"
"2287";"north chili, new york, usa";"35"
"2288";"spring hill, tennessee, usa";"30"
"2295";"el sobrante, california, usa";"21"
"2313";"cincinnati, ohio, usa";"23"
"2326";"porto, porto, portugal";"23"
"2333";"ocean city, maryland, usa";NULL
"2337";"grove city, ohio, usa";"34"
"2349";"günzburg, bayern, germany";NULL
"2358";"bryan, texas, usa";"23"
"2363";"mountain home, idaho, usa";"42"
"2375";"norfolk, virginia, usa";"20"
"2389";"düsseldorf, nordrhein-westfalen, germany";NULL
"2399";"kent, ohio, usa";"32"
"2406";"münchen, bayern, germany";"48"
"2411";"lake city, florida, usa";"37"
"2437";"san antonio, texas, usa";"45"
"2439";"atlanta, georgia, usa";"26"
"2442";"torino, ,";"25"
"2462";"kingston, , usa";NULL
"2470";"phoenix, arizona, usa";"22"
"2488";"taubate, sao paulo, brazil";"65"
"2545";"freiburg, baden-wuerttemberg, germany";"48"
"2549";"nice, alpes maritimes, france";"31"
"2559";"santa rosa, california, usa";NULL
"2589";"shrewsbury, massachusetts, usa";NULL
"2596";"offenburg, baden-wuerttemberg, germany";NULL
"2622";"los angeles, california, usa";"41"
"2630";"kingsland, texas, usa";"66"
"2655";"firenze, toscana, italy";NULL
"2665";"balozi, rigas rajons, latvia";NULL
"2685";"monteporzio catone(roma), lazio, italy";"21"
"2688";"herbolzheim, baden-wuerttemberg, germany";"16"
"2719";"staten island, new york, usa";"37"
"2731";"victoria, british columbia, canada";NULL
"2738";"milano, lombardia, italy";"32"
"2760";"n/a, aargau, switzerland";"23"
"2766";"frisco, texas, usa";"42"
"2769";"gorizia, friuli venezia giulia, italy";"27"
"2770";"champaign, illinois, usa";NULL
"2789";"barcelona, catalunya, spain";"28"
"2790";"san antonio, texas, usa";"50"
"2793";"jefferson, georgia, usa";"34"
"2799";"eugene, oregon, usa";NULL
"2803";"barcelona, barcelona, spain";"36"
"2853";"cleveland, ohio, usa";NULL
"2854";"deptford, new jersey, usa";"36"
"2855";"dallas, texas, usa";"35"
"2891";"beaverton, oregon, usa";NULL
"2893";"hospitalet de llobregat, barcelona, spain";"21"
"2896";"sao paulo, sao paulo, brazil";"20"
"2906";"paris, ile de france, france";"20"
"2907";"new york, new york, usa";NULL
"2935";"barstow, california, usa";"59"
"2954";"wichita, kansas, usa";"71"
"2977";"richland, washington, usa";"25"
"2982";"montreal, quebec, canada";"34"
"2996";"milan, lombardia, italy";"21"
"3017";"roma, lazio, italy";NULL
"3066";"grand ledge, michigan, usa";"29"
"3073";"helsinki, uusimaa, finland";"23"
"3079";"asheville, north carolina, usa";NULL
"3088";"avignon, vaucluse, france";"25"
"3100";"oakland, california, usa";"42"
"3104";"watertown, massachusetts, usa";"27"
"3106";"memphis, tennessee, usa";NULL
"3142";"lawrenceville, georgia, usa";"29"
"3145";"austin, texas, usa";"34"
"3154";"new york, new york, usa";NULL
"3167";"milwaukee, wisconsin, usa";"42"
"3168";"mississauga, ontario, canada";"17"
"3192";"milwaukee, wisconsin, usa";NULL
"3232";"rome, lazio, italy";"35"
"3266";"stockholm, n/a, sweden";NULL
"3282";"didsbury, alberta, canada";"52"
"3307";"braga, minho, portugal";"23"
"3326";"bonn, nordrhein-westfalen, germany";"37"
"3329";"grantsville, utah, usa";NULL
"3331";"mckeesport, pennsylvania, usa";"60"
"3332";"hartlepool, cleveland, united kingdom";"54"
"3344";"tucson, arizona, usa";"61"
"3346";"tehran, tehran, iran";"20"
"3350";"colorado springs, colorado, usa";"23"
"3355";"barcelona, barcelona, spain";"19"
"3363";"knoxville, tennessee, usa";"29"
"3364";"victoria, british columbia, canada";"29"
"3368";"nashua, new hampshire, usa";NULL
"3371";"groveland, massachusetts, usa";"25"
"3373";"elk grove, california, usa";"30"
"3374";"ajax, ontario, canada";"47"
"3379";"toronto, ontario, canada";"16"
"3416";"aachen, nordrhein-westfalen, germany";"34"
"3418";"san diego, california, usa";"14"
"3427";"eldorado, illinois, usa";"50"
"3437";"honolulu, hawaii, usa";"103"
"3462";"amherst, new york, usa";NULL
"3467";"fort wayne, indiana, usa";"36"
"3471";"victoria, british columbia, canada";NULL
"3481";"littleton, colorado, usa";"49"
"3488";"ljubljana, n/a, slovenia";"21"
"3508";"edinburgh, scotland, united kingdom";"46"
"3537";"seattle, washington, usa";NULL
"3538";"madrid, madrid, spain";"31"
"3542";"jersey city, new jersey, usa";NULL
"3556";"bismarck, north dakota, usa";"68"
"3569";"n/a, n/a, usa";NULL
"3578";"halifax, nova scotia, canada";"25"
"3594";"auckland, n/a, new zealand";"48"
"3640";"sacramento, california, usa";NULL
"3643";"robbinsdale, minnesota, usa";NULL
"3659";"toronto, ,";NULL
"3669";"williamsburg, massachusetts, usa";"34"
"3675";"barcelona, catalunya, spain";"24"
"3693";"hampton, virginia, usa";"23"
"3719";"eielson afb, alaska, usa";"18"
"3728";"pembroke pines, florida, usa";"40"
"3739";"hamilton, ,";NULL
"3743";"roma, lazio, italy";"29"
"3752";"langenthal, bern, switzerland";"44"
"3757";"madrid, madrid, spain";NULL
"3761";"san diego, california, usa";NULL
"3775";"port angeles, washington, usa";"57"
"3791";"amadora, lisboa, portugal";"57"
"3792";"sacramento, california, usa";"12"
"3799";"norwich, england, united kingdom";"18"
"3814";"langhorne, pennsylvania, usa";NULL
"3816";"roma, lazio, italy";"33"
"3817";"columbia, south carolina, usa";"29"
"3827";"orlando, florida, usa";"23"
"3840";"meriden, connecticut, usa";"46"
"3856";"auckland, n/a, new zealand";NULL
"3874";"haarlem, northholland, netherlands";NULL
"3881";"ottawa, ontario, canada";"34"
"3915";"basel, basel-stadt, switzerland";NULL
"3917";"toronto, ontario, canada";"25"
"3923";"vienna, ,";NULL
"3954";"detroit, michigan, usa";"24"
"3965";"st. peters, missouri, usa";NULL
"3977";"columbiana, alabama, usa";"63"
"3983";"north oaks, minnesota, usa";NULL
"4017";"new orleans, louisiana, usa";"48"
"4049";"poringland, england, united kingdom";"65"
"4066";"birmingham, alabama, usa";"31"
"4090";"haskell, new jersey, usa";NULL
"4091";"estill springs, tennessee, usa";"77"
"4092";"hixson, tennessee, usa";"27"
"4098";"mei foo, kowloon, hong kong";"30"
"4114";"augsburg, bayern, germany";NULL
"4131";"hemel hempstead, england, united kingdom";"51"
"4134";"stockach, baden-wuerttemberg, germany";"42"
"4138";"austin, texas, usa";"20"
"4144";"winnipeg, manitoba, canada";"31"
"4149";"highland, utah, usa";NULL
"4157";"birmingham, alabama, usa";"39"
"4164";"anchorage, alaska, usa";NULL
"4179";"fairbanks, alaska, usa";"18"
"4197";"anchorage, alaska, usa";"61"
"4221";"n/a, connecticut, usa";NULL
"4223";"oldenburg, niedersachsen, germany";"28"
"4225";"ottawa, ontario, canada";"33"
"4228";"austin, texas, usa";"41"
"4260";"lyon, n/a, france";"31"
"4275";"valencia, valencia, spain";"15"
"4285";"adrian, michigan, usa";"50"
"4292";"weehawken, new jersey, usa";NULL
"4334";"rome, lazio, italy";"38"
"4365";"victoria, british columbia, canada";"19"
"4370";"kingston, ontario, canada";"46"
"4385";"albq, new mexico, usa";"33"
"4401";"boston, massachusetts, usa";"28"
"4420";"balgach, st.gallen, switzerland";"24"
"4428";"cartagena, murcia, spain";"31"
"4433";"ploiesti, prahova, romania";"17"
"4435";"roma, lazio, italy";"30"
"4483";"aldergrove, british columbia, canada";NULL
"4514";"vila nova de famalicão, braga, portugal";"23"
"4518";"milano, lombardia, italy";"30"
"4541";"atlanta, georgia, usa";"32"
"4547";"cento, ferrara, italy";"24"
"4570";"santa monica, california, usa";"40"
"4571";"melbourne, victoria, australia";"23"
"4600";"little rock, arkansas, usa";"32"
"4614";"a coruña, a coruñagalicia, spain";"35"
"4622";"norfolk, virginia, usa";"18"
"4710";"coazze, piemonte, italy";"43"
"4769";"ny, new york, usa";"35"
"4781";"manchester, new hampshire, usa";"47"
"4785";"litchfield, connecticut, usa";"30"
"4795";"rochester, new york, usa";"18"
"4802";"london, england, united kingdom";"28"
"4809";"grosse pointe, michigan, usa";NULL
"4816";"malden, massachusetts, usa";NULL
"4838";"munich, bayern, germany";NULL
"4845";"surrey, ,";NULL
"4864";"atascadero, california, usa";"30"
"4895";"moreno valley, california, usa";NULL
"4896";"ploiesti, prahova, romania";"18"
"4907";"adelaide, south australia, australia";"40"
"4937";"melbourne, victoria, australia";NULL
"4938";"charleston, south carolina, usa";"30"
"4947";"lisboa, n/a, portugal";"32"
"4973";"toronto, ontario, canada";"29"
"5021";"pagosa springs, colorado, usa";NULL
"5037";"dodge center, minnesota, usa";"26"
"5048";"montreal, quebec, canada";NULL
"5091";"swieqi, n/a, malta";NULL
"5127";"castelnovo monti (re), emilia romagna, italy";"33"
"5151";"madrid, madrid, spain";"24"
"5158";"lyon, rhone, france";"21"
"5163";"pacific grove, california, usa";NULL
"5204";"lyon, rhône-alpes, france";"24"
"5207";"indianapolis, indiana, usa";"34"
"5208";"brest, bretagne, france";"20"
"5209";"medford, new jersey, usa";"48"
"5225";"edewecht, niedersachsen, germany";"27"
"5268";"chandler, arizona, usa";NULL
"5285";"atascadero, california, usa";"38"
"5286";"dallas, texas, usa";"18"
"5287";"ottawa, ontario, canada";"22"
"5300";"vittorio veneto, veneto, italy";NULL
"5331";"hull, england, united kingdom";"26"
"5333";"rotterdam, rotterdam, netherlands";"49"
"5350";"köln, nordrhein-westfalen, germany";"20"
"5375";"placerville, california, usa";"47"
"5385";"loomis, california, usa";"30"
"5414";"lakewood, washington, usa";NULL
"5416";"albany, oregon, usa";NULL
"5419";"burford, ontario, canada";NULL
"5429";"sacramento, california, usa";"51"
"5439";"houston, texas, usa";"66"
"5448";"pine bush, new york, usa";"14"
"5452";"reseda, california, usa";"26"
"5459";"frederick, maryland, usa";NULL
"5476";"chester, ,";NULL
"5479";"statesboro, georgia, usa";"27"
"5483";"bayan lepas, penang, malaysia";"20"
"5490";"lake charles, louisiana, usa";"33"
"5499";"lakeland, tennessee,";"60"
"5506";"cortlandt manor, new york, usa";"19"
"5539";"austin, texas, usa";"32"
"5543";"cumberland, maryland, usa";"29"
"5555";"perigny, poitou-charentes, france";NULL
"5582";"seattle, washington, usa";"26"
"5585";"arlington, virginia, usa";"39"
"5600";"dallas, texas, usa";NULL
"5604";"hattenhofen, bayern, germany";"48"
"5609";"oradea, bihor, romania";"25"
"5623";"toulouse, n/a, france";"23"
"5630";"milano, lombardia, italy";"29"
"5638";"binghamton, new york, usa";NULL
"5639";"roma, lazio, italy";"34"
"5665";"orlando, florida, usa";"40"
"5669";"chicago, illinois, usa";NULL
"5674";"jackson, new jersey, usa";"15"
"5694";"lake forest, california, usa";"43"
"5705";"rayleigh, england, united kingdom";NULL
"5709";"bayan lepas, penang, malaysia";"15"
"5722";"providence, rhode island, usa";"23"
"5728";"cullowhee, north carolina, usa";"22"
"5730";"ottawa, ontario, canada";"20"
"5737";"newcastle, washington, usa";"44"
"5741";"redlands, california, usa";"20"
"5746";"los angeles, california, usa";NULL
"5765";"vilanova i la geltrú, catalunya, spain";"16"
"5769";"christchurch, canterbury,";"25"
"5777";"the san francisco bay area, california, usa";"2"
"5783";"fullerton, california, usa";"32"
"5790";"middlesbrough, england, united kingdom";"34"
"5792";"toronto, ontario,";"16"
"5815";"rockville, maryland, usa";NULL
"5834";"aachen, nordrhein-westfalen, germany";"26"
"5850";"seattle, ,";NULL
"5899";"ulm, baden-wuerttemberg, germany";"25"
"5903";"vienna, vienna, austria";"25"
"5920";"albany, oregon, usa";"35"
"5923";"montville, new jersey, usa";NULL
"5932";"honolulu, hawaii, usa";NULL
"5942";"harrisburg, missouri, usa";NULL
"5956";"indianapolis, indiana, usa";"27"
"5963";"san diego, california, usa";"38"
"5971";"lisboa, lisboa, portugal";"34"
"5975";"manchester, new hampshire, usa";NULL
"5988";"grand prairie, texas, usa";"49"
"5998";"seattle, washington, usa";"32"
"6004";"como, lombardia, italy";"37"
"6007";"ajax, ontario, canada";NULL
"6011";"sterling heights, michigan, usa";"15"
"6051";"austin, texas, usa";"33"
"6073";"houston, texas, usa";"28"
"6092";"weybridge, surrey, united kingdom";NULL
"6102";"jamaica, , usa";"28"
"6107";"haltern am see, nordrhein-westfalen, germany";"32"
"6112";"st.petersburg, florida, usa";"16"
"6115";"kerrville, texas, usa";NULL
"6120";"elizabethtown, kentucky, usa";"36"
"6139";"halifax, ,";"24"
"6156";"kansas city, missouri, usa";NULL
"6192";"duisburg, nordrhein-westfalen, germany";NULL
"6218";"toronto, ontario, canada";NULL
"6229";"navarre, florida, usa";"38"
"6238";"silsden, keighley, west yorkshire, united kingdom";"38"
"6242";"calgary, alberta, canada";NULL
"6249";"el dorado, kansas, usa";NULL
"6251";"wahiawa, hawaii, usa";"32"
"6273";"camerota (sa), campania, italy";NULL
"6280";"a coruña, , spain";"46"
"6284";"beja, baixo-alentejo, portugal";"40"
"6285";"river john, nova scotia, canada";"70"
"6318";"ann arbor, michigan, usa";"24"
"6323";"wilmington, north carolina, usa";"35"
"6330";"letchworth garden city, england,";"37"
"6333";"san jose, california, usa";"45"
"6336";"almonte, ontario, canada";"41"
"6338";"rochester, new york, usa";"18"
"6345";"lake geneva, wisconsin, usa";"29"
"6347";"quispamsis, new brunswick, canada";"19"
"6360";"ourense, galicia, spain";"21"
"6364";"middletown, ohio, usa";"32"
"6366";"madrid, madrid, spain";"20"
"6368";"spartanburg, south carolina, usa";"26"
"6398";"dallas, texas, usa";"20"
"6401";"aloha, oregon, usa";NULL
"6431";"wylie, texas, usa";"30"
"6432";"burnaby, british columbia, canada";"21"
"6450";"vancouver, british columbia, canada";"26"
"6460";"grand forks, british columbia, canada";NULL
"6492";"edmonton, alberta, canada";"35"
"6497";"plant city, florida, usa";NULL
"6501";"monterey, california, usa";"25"
"6505";"topeka, kansas, usa";"56"
"6507";"san sebastián, guipúzcoa, spain";"26"
"6509";"munich, bayern, germany";"37"
"6516";"christchurch, canterbury, new zealand";"22"
"6532";"new westminster, british columbia, canada";NULL
"6535";"lisbon, lisbon, portugal";"26"
"6537";"norfolk, ,";"28"
"6543";"strafford, missouri, usa";"34"
"6563";"burien, washington, usa";"31"
"6564";"lisboa, estremadura, portugal";"37"
"6566";"port angeles, washington, usa";NULL
"6575";"seattle, washington, usa";NULL
"6577";"coral springs, florida, usa";"62"
"6582";"solon, ohio, usa";"35"
"6592";"brooks, alberta, canada";"37"
"6597";"chicago, illinois, usa";NULL
"6604";"vallejo, california, usa";"48"
"6611";"oradea, n/a, romania";"22"
"6642";"springfield, missouri, usa";"34"
"6662";"toronto, ontario, canada";"31"
"6671";"altoona, wisconsin, usa";"54"
"6679";"myrtle beach, south carolina, usa";NULL
"6689";"east lansing, michigan, usa";NULL
